station_name,Latitude,Longitude
Jeffery Blvd & 71st St,41.766638236999995,-87.576450114
State St & Pearson St,41.897448,-87.628722
Evanston Civic Center,42.057044,-87.686554
California Ave & Cortez St,41.900363,-87.696704
South Chicago Ave & Elliot Ave,41.747363,-87.580046
Austin Blvd & Lake St,41.887919000000004,-87.774446
Aberdeen St & Randolph St,41.884114000000004,-87.654264
Ashland Ave & Belle Plaine Ave,41.956057,-87.668835
Leavitt St & Chicago Ave,41.895501,-87.682017
Wabash Ave & Roosevelt Rd,41.867227,-87.625961
Chicago Ave & Dempster St,42.041691,-87.680687
Morgan St & 18th St,41.858086,-87.651073
Buckingham Fountain,41.87647,-87.62034
Dodge Ave & Mulford St,42.023463,-87.699595
Ridge Blvd & Howard St,42.019276,-87.68451999999999
Throop St & 52nd St,41.799659000000005,-87.657195
State St & 29th St,41.841707,-87.626938
Loomis St & Archer Ave,41.84163254,-87.65743495299999
Delano Ct & Roosevelt Rd,41.867490999999994,-87.63219000000001
Rainbow Beach,41.757871448,-87.54938625
Wood St & Augusta Blvd,41.899181,-87.6722
Perry Ave & 69th St,41.76929309,-87.628195929
Racine Ave & Congress Pkwy,41.87464,-87.65703
Lake Shore Dr & Ohio St,41.89257,-87.614492
Field Museum,41.865312,-87.617867
Lincolnwood Dr & Central St,42.064854,-87.71529699999999
Dusable Harbor,41.886976000000004,-87.612813
MLK Jr Dr & 83rd St,41.743116,-87.6148
Michigan Ave & 8th St,41.872772999999995,-87.623981
Financial Pl & Ida B Wells Dr (Temp),41.874618,-87.632882
Seeley Ave & Roscoe St,41.943403,-87.679618
Cottage Grove Ave & 67th St,41.773720952,-87.60563486
Kedzie Ave & Roosevelt Rd,41.866492781999995,-87.706496176
Ashland Ave & 63rd St,41.779374,-87.664843
LaSalle Dr & Huron St (*),41.894877,-87.632326
Damen Ave & Grand Ave,41.891220000000004,-87.67685999999999
Greenview Ave & Diversey Pkwy,41.932595,-87.665939
Morgan Ave & 14th Pl,41.862378,-87.651062
Dearborn St & Van Buren St (*),41.876267999999996,-87.62915500000001
Wabash Ave & 83rd St,41.743316,-87.622849
Malcolm X College,41.877618,-87.673895
Larrabee St & North Ave,41.91021,-87.6435
Fairbanks St & Superior St (*),41.895748,-87.620104
Shedd Aquarium,41.867225956999995,-87.61535539
Leavitt St & Belmont Ave (*),41.939353999999994,-87.68328199999999
Clark St & Newport St,41.94454,-87.654678
Ashland Ave & Chicago Ave,41.895965999999994,-87.66774699999999
Orleans St & Hubbard St (*),41.890028,-87.636618
Wood St & Hubbard St,41.889587,-87.67195600000001
Kenton Ave & Madison St,41.880708,-87.74101800000001
Larrabee St & Menomonee St,41.91468,-87.64331999999999
Latrobe Ave & Chicago Ave,41.894745,-87.756895
Kildare Ave & Montrose Ave,41.961079999999995,-87.73569
Cicero Ave & Lake St,41.886841,-87.745261
Cornell Dr & Hayes Dr,41.780595,-87.584846
Talman Ave & Addison St,41.946635831,-87.69461475799999
Halsted St & Polk St,41.87184,-87.64664
Commercial Ave & 83rd St,41.744615,-87.551208
Phillips Ave & 83rd St,41.744531,-87.56506
Archer (Damen) Ave & 37th St (*),41.826712,-87.683144
Walsh Park,41.914609999999996,-87.667968
Kostner Ave & Lake St,41.885928,-87.73541
Michigan Ave & Oak St,41.90096039,-87.62377664
Sheffield Ave & Waveland Ave,41.949399,-87.65452900000001
Sheffield Ave & Wellington Ave,41.936265999999996,-87.652662
Evans Ave & 75th St,41.758308,-87.606685
Laramie Ave & Kinzie St,41.887832,-87.755527
Normal Ave & 72nd St,41.763462,-87.637297
Wentworth Ave & 24th St,41.849237,-87.631715
Karlov Ave & Madison St,41.88085,-87.727907
California Ave & Altgeld St,41.92669,-87.69766800000001
Kedzie Ave & Leland Ave,41.966686362,-87.708051981
Clark St & Armitage Ave,41.918306,-87.636282
Sheridan Rd & Columbia Ave,42.004583000000004,-87.661406
Laramie Ave & Gladys Ave,41.875806,-87.755285
Racine Ave & Washington Blvd (*),41.883072999999996,-87.656952
Clinton St & Jackson Blvd (*),41.878419,-87.640977
Lakefront Trail & Wilson Ave,41.965845,-87.645361
Milwaukee Ave & Wabansia Ave,41.912616,-87.681391
Central Park Ave & Bloomingdale Ave,41.914165999999994,-87.716755
May St & Cullerton St,41.855136,-87.654127
Jefferson St & Monroe St,41.880421999999996,-87.642746
Central Ave & Harrison St,41.872993,-87.764499
Cicero Ave & Quincy St,41.877613000000004,-87.745405
